level1,level2,level3,level4,level1_description,level2_description,level3_description,level4_description
G,G04,G04C,G04CB,GENITO URINARY SYSTEM AND SEX HORMONES,UROLOGICALS,DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY,Testosterone-5-alpha reductase inhibitors
H,H01,H01C,H01CA,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,HYPOTHALAMIC HORMONES,Gonadotropin-releasing hormones
G,G03,G03C,G03CC,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ESTROGENS,"Estrogens, combinations with other drugs"
J,J01,J01D,J01DB,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,First-generation cephalosporins
G,G02,G02C,G02CX,GENITO URINARY SYSTEM AND SEX HORMONES,OTHER GYNECOLOGICALS,OTHER GYNECOLOGICALS,Other gynecologicals
R,R06,R06A,R06AE,RESPIRATORY SYSTEM,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,Piperazine derivatives
A,A10,A10B,A10BX,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS","Other blood glucose lowering drugs, excl. insulins"
N,N02,N02B,N02BA,NERVOUS SYSTEM,ANALGESICS,OTHER ANALGESICS AND ANTIPYRETICS,Salicylic acid and derivatives
A,A16,A16A,A16AX,ALIMENTARY TRACT AND METABOLISM,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,Various alimentary tract and metabolism products
N,N07,N07X,N07XX,NERVOUS SYSTEM,OTHER NERVOUS SYSTEM DRUGS,OTHER NERVOUS SYSTEM DRUGS,Other nervous system drugs
P,P03,P03A,P03AX,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS","ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS","ECTOPARASITICIDES, INCL. SCABICIDES","Other ectoparasiticides, incl. scabicides"
B,B05,B05C,B05CX,BLOOD AND BLOOD FORMING ORGANS,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,IRRIGATING SOLUTIONS,Other irrigating solutions
V,V04,V04C,V04CJ,VARIOUS,DIAGNOSTIC AGENTS,OTHER DIAGNOSTIC AGENTS,Tests for thyreoidea function
H,H05,H05B,H05BA,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",CALCIUM HOMEOSTASIS,ANTI-PARATHYROID AGENTS,Calcitonin preparations
C,C03,C03A,C03AA,CARDIOVASCULAR SYSTEM,DIURETICS,"LOW-CEILING DIURETICS, THIAZIDES","Thiazides, plain"
M,M02,M02A,M02AX,MUSCULO-SKELETAL SYSTEM,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,Other topical products for joint and muscular pain
B,B06,B06A,B06AB,BLOOD AND BLOOD FORMING ORGANS,OTHER HEMATOLOGICAL AGENTS,OTHER HEMATOLOGICAL AGENTS,Other hem products
L,L01,L01C,L01CX,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS,Other plant alkaloids and natural products
J,J07,J07B,J07BJ,ANTIINFECTIVES FOR SYSTEMIC USE,VACCINES,VIRAL VACCINES,Rubella vaccines
M,M01,M01A,M01AH,MUSCULO-SKELETAL SYSTEM,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",Coxibs
C,C08,C08E,C08EA,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,NON-SELECTIVE CALCIUM CHANNEL BLOCKERS,Phenylalkylamine derivatives
P,P02,P02D,P02DA,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTHELMINTICS,ANTICESTODALS,Salicylic acid derivatives
C,C02,C02D,C02DA,CARDIOVASCULAR SYSTEM,ANTIHYPERTENSIVES,"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON",Thiazide derivatives
C,C04,C04A,C04AX,CARDIOVASCULAR SYSTEM,PERIPHERAL VASODILATORS,PERIPHERAL VASODILATORS,Other peripheral vasodilators
P,P01,P01B,P01BB,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,ANTIMALARIALS,Biguanides
G,G02,G02C,G02CC,GENITO URINARY SYSTEM AND SEX HORMONES,OTHER GYNECOLOGICALS,OTHER GYNECOLOGICALS,Antiinflammatory products for vaginal administration
N,N02,N02A,N02AX,NERVOUS SYSTEM,ANALGESICS,OPIOIDS,Other opioids
C,C03,C03C,C03CX,CARDIOVASCULAR SYSTEM,DIURETICS,HIGH-CEILING DIURETICS,Other high-ceiling diuretics
C,C02,C02L,C02LC,CARDIOVASCULAR SYSTEM,ANTIHYPERTENSIVES,ANTIHYPERTENSIVES AND DIURETICS IN COMBINATION,Imidazoline receptor agonists in combination with diuretics
J,J01,J01C,J01CF,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",Beta-lactamase resistant penicillins
R,R03,R03D,R03DB,RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,Xanthines and adrenergics
B,B01,B01A,B01AX,BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,Other antithrombotic agents
J,J07,J07A,J07AJ,ANTIINFECTIVES FOR SYSTEMIC USE,VACCINES,BACTERIAL VACCINES,Pertussis vaccines
L,L04,L04A,L04AD,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,Calcineurin inhibitors
M,M03,M03B,M03BX,MUSCULO-SKELETAL SYSTEM,MUSCLE RELAXANTS,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",Other centrally acting agents
J,J07,J07B,J07BG,ANTIINFECTIVES FOR SYSTEMIC USE,VACCINES,VIRAL VACCINES,Rabies vaccines
J,J07,J07A,J07AK,ANTIINFECTIVES FOR SYSTEMIC USE,VACCINES,BACTERIAL VACCINES,Plague vaccines
A,A10,A10B,A10BK,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Sodium-glucose co-transporter 2 (SGLT2) inhibitors
R,R03,R03A,R03AL,RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"ADRENERGICS, INHALANTS",Adrenergics in combination with anticholinergics incl. triple combinations with corticosteroids
A,A10,A10A,A10AB,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,INSULINS AND ANALOGUES,"Insulins and analogues for injection, fast-acting"
N,N01,N01B,N01BX,NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, LOCAL",Other local anesthetics
H,H01,H01A,H01AA,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,ACTH
H,H01,H01A,H01AX,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,Other anterior pituitary lobe hormones and analogues
L,L01,L01X,L01XE,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,Protein kinase inhibitors
C,C02,C02D,C02DD,CARDIOVASCULAR SYSTEM,ANTIHYPERTENSIVES,"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON",Nitroferricyanide derivatives
C,C09,C09C,C09CA,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II ANTAGONISTS, PLAIN","Angiotensin II antagonists, plain"
B,B02,B02B,B02BD,BLOOD AND BLOOD FORMING ORGANS,ANTIHEMORRHAGICS,VITAMIN K AND OTHER HEMOSTATICS,Blood coagulation factors
V,V04,V04C,V04CM,VARIOUS,DIAGNOSTIC AGENTS,OTHER DIAGNOSTIC AGENTS,Tests for fertility disturbances
D,D06,D06B,D06BA,DERMATOLOGICALS,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,CHEMOTHERAPEUTICS FOR TOPICAL USE,Sulfonamides
V,V10,V10X,V10XA,VARIOUS,THERAPEUTIC RADIOPHARMACEUTICALS,OTHER THERAPEUTIC RADIOPHARMACEUTICALS,Iodine (131I) compounds
L,L01,L01A,L01AC,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,ALKYLATING AGENTS,Ethylene imines
L,L03,L03A,L03AB,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSTIMULANTS,IMMUNOSTIMULANTS,Interferons
V,V09,V09H,V09HB,VARIOUS,DIAGNOSTIC RADIOPHARMACEUTICALS,INFLAMMATION AND INFECTION DETECTION,Indium (111In) compounds
C,C07,C07C,C07CB,CARDIOVASCULAR SYSTEM,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS AND OTHER DIURETICS,"Beta blocking agents, selective, and other diuretics"
J,J04,J04A,J04AD,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOBACTERIALS,DRUGS FOR TREATMENT OF TUBERCULOSIS,Thiocarbamide derivatives
N,N02,N02A,N02AB,NERVOUS SYSTEM,ANALGESICS,OPIOIDS,Phenylpiperidine derivatives
A,A10,A10A,A10AC,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,INSULINS AND ANALOGUES,"Insulins and analogues for injection, intermediate-acting"
R,R03,R03B,R03BA,RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",Glucocorticoids
S,S01,S01A,S01AD,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,Antivirals
R,R01,R01A,R01AC,RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"Antiallergic agents, excl. corticosteroids"
R,R05,R05C,R05CA,RESPIRATORY SYSTEM,COUGH AND COLD PREPARATIONS,"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS",Expectorants
A,A07,A07E,A07EB,ALIMENTARY TRACT AND METABOLISM,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",INTESTINAL ANTIINFLAMMATORY AGENTS,"Antiallergic agents, excl. corticosteroids"
R,R03,R03A,R03AC,RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"ADRENERGICS, INHALANTS",Selective beta-2-adrenoreceptor agonists
V,V09,V09E,V09EA,VARIOUS,DIAGNOSTIC RADIOPHARMACEUTICALS,RESPIRATORY SYSTEM,"Technetium (99mTc), inhalants"
J,J05,J05A,J05AE,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,Protease inhibitors
B,B03,B03B,B03BA,BLOOD AND BLOOD FORMING ORGANS,ANTIANEMIC PREPARATIONS,VITAMIN B12 AND FOLIC ACID,Vitamin B12 (cyanocobalamin and analogues)
D,D02,D02A,D02AE,DERMATOLOGICALS,EMOLLIENTS AND PROTECTIVES,EMOLLIENTS AND PROTECTIVES,Carbamide products
B,B05,B05A,B05AX,BLOOD AND BLOOD FORMING ORGANS,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,BLOOD AND RELATED PRODUCTS,Other blood products
A,A10,A10B,A10BF,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Alpha glucosidase inhibitors
C,C09,C09B,C09BB,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, COMBINATIONS",ACE inhibitors and calcium channel blockers
V,V09,V09D,V09DX,VARIOUS,DIAGNOSTIC RADIOPHARMACEUTICALS,HEPATIC AND RETICULO ENDOTHELIAL SYSTEM,Other hepatic and reticulo endothelial system diagnostic radiopharmaceuticals
V,V09,V09I,V09IA,VARIOUS,DIAGNOSTIC RADIOPHARMACEUTICALS,TUMOUR DETECTION,Technetium (99mTc) compounds
A,A06,A06A,A06AA,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,"Softeners, emollients"
V,V03,V03A,V03AN,VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Medical gases
A,A06,A06A,A06AH,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Peripheral opioid receptor antagonists
N,N05,N05B,N05BE,NERVOUS SYSTEM,PSYCHOLEPTICS,ANXIOLYTICS,Azaspirodecanedione derivatives
C,C03,C03C,C03CC,CARDIOVASCULAR SYSTEM,DIURETICS,HIGH-CEILING DIURETICS,Aryloxyacetic acid derivatives
D,D08,D08A,D08AJ,DERMATOLOGICALS,ANTISEPTICS AND DISINFECTANTS,ANTISEPTICS AND DISINFECTANTS,Quaternary ammonium compounds
N,N03,N03A,N03AX,NERVOUS SYSTEM,ANTIEPILEPTICS,ANTIEPILEPTICS,Other antiepileptics
D,D10,D10A,D10AF,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,Antiinfectives for treatment of acne
D,D02,D02B,D02BA,DERMATOLOGICALS,EMOLLIENTS AND PROTECTIVES,PROTECTIVES AGAINST UV-RADIATION,Protectives against UV-radiation for topical use
L,L02,L02A,L02AE,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ENDOCRINE THERAPY,HORMONES AND RELATED AGENTS,Gonadotropin releasing hormone analogues
A,A10,A10B,A10BD,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Combinations of oral blood glucose lowering drugs
A,A07,A07B,A07BA,ALIMENTARY TRACT AND METABOLISM,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",INTESTINAL ADSORBENTS,Charcoal preparations
N,N06,N06D,N06DX,NERVOUS SYSTEM,PSYCHOANALEPTICS,ANTI-DEMENTIA DRUGS,Other anti-dementia drugs
G,G03,G03A,G03AA,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,"Progestogens and estrogens, fixed combinations"
C,C02,C02B,C02BB,CARDIOVASCULAR SYSTEM,ANTIHYPERTENSIVES,"ANTIADRENERGIC AGENTS, GANGLION-BLOCKING",Secondary and tertiary amines
P,P03,P03A,P03AC,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS","ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS","ECTOPARASITICIDES, INCL. SCABICIDES","Pyrethrines, incl. synthetic compounds"
R,R02,R02A,R02AD,RESPIRATORY SYSTEM,THROAT PREPARATIONS,THROAT PREPARATIONS,"Anesthetics, local"
R,R03,R03D,R03DC,RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,Leukotriene receptor antagonists
J,J02,J02A,J02AB,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOTICS FOR SYSTEMIC USE,ANTIMYCOTICS FOR SYSTEMIC USE,Imidazole derivatives
A,A04,A04A,A04AA,ALIMENTARY TRACT AND METABOLISM,ANTIEMETICS AND ANTINAUSEANTS,ANTIEMETICS AND ANTINAUSEANTS,Serotonin (5HT3) antagonists
J,J01,J01M,J01MB,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,QUINOLONE ANTIBACTERIALS,Other quinolones
C,C08,C08D,C08DA,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,Phenylalkylamine derivatives
J,J05,J05A,J05AF,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,Nucleoside and nucleotide reverse transcriptase inhibitors
N,N06,N06B,N06BC,NERVOUS SYSTEM,PSYCHOANALEPTICS,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",Xanthine derivatives
C,C05,C05A,C05AE,CARDIOVASCULAR SYSTEM,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,Muscle relaxants
C,C07,C07B,C07BG,CARDIOVASCULAR SYSTEM,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS AND THIAZIDES,Alpha and beta blocking agents and thiazides
M,M03,M03A,M03AA,MUSCULO-SKELETAL SYSTEM,MUSCLE RELAXANTS,"MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS",Curare alkaloids
J,J01,J01X,J01XA,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER ANTIBACTERIALS,Glycopeptide antibacterials
P,P01,P01C,P01CC,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS,Nitrofuran derivatives
P,P02,P02C,P02CC,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTHELMINTICS,ANTINEMATODAL AGENTS,Tetrahydropyrimidine derivatives
R,R01,R01A,R01AB,RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,"Sympathomimetics, combinations excl. corticosteroids"
N,N05,N05C,N05CX,NERVOUS SYSTEM,PSYCHOLEPTICS,HYPNOTICS AND SEDATIVES,"Hypnotics and sedatives in combination, excl. barbiturates"
J,J01,J01F,J01FF,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",Lincosamides
B,B01,B01A,B01AE,BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,Direct thrombin inhibitors
G,G01,G01A,G01AC,GENITO URINARY SYSTEM AND SEX HORMONES,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",Quinoline derivatives
M,M03,M03B,M03BC,MUSCULO-SKELETAL SYSTEM,MUSCLE RELAXANTS,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS","Ethers, chemically close to antihistamines"
P,P02,P02C,P02CF,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTHELMINTICS,ANTINEMATODAL AGENTS,Avermectines
C,C01,C01A,C01AC,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC GLYCOSIDES,Strophanthus glycosides
D,D10,D10B,D10BA,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR SYSTEMIC USE,Retinoids for treatment of acne
C,C05,C05A,C05AX,CARDIOVASCULAR SYSTEM,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,Other agents for treatment of hemorrhoids and anal fissures for topical use
N,N06,N06B,N06BA,NERVOUS SYSTEM,PSYCHOANALEPTICS,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",Centrally acting sympathomimetics
C,C02,C02C,C02CA,CARDIOVASCULAR SYSTEM,ANTIHYPERTENSIVES,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",Alpha-adrenoreceptor antagonists
N,N04,N04B,N04BC,NERVOUS SYSTEM,ANTI-PARKINSON DRUGS,DOPAMINERGIC AGENTS,Dopamine agonists
N,N02,N02A,N02AF,NERVOUS SYSTEM,ANALGESICS,OPIOIDS,Morphinan derivatives
J,J07,J07B,J07BL,ANTIINFECTIVES FOR SYSTEMIC USE,VACCINES,VIRAL VACCINES,Yellow fever vaccines
A,A06,A06A,A06AD,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Osmotically acting laxatives
J,J07,J07A,J07AP,ANTIINFECTIVES FOR SYSTEMIC USE,VACCINES,BACTERIAL VACCINES,Typhoid vaccines
A,A10,A10A,A10AF,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,INSULINS AND ANALOGUES,Insulins and analogues for inhalation
S,S01,S01L,S01LA,SENSORY ORGANS,OPHTHALMOLOGICALS,OCULAR VASCULAR DISORDER AGENTS,Antineovascularisation agents
C,C01,C01A,C01AB,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC GLYCOSIDES,Scilla glycosides
V,V04,V04C,V04CF,VARIOUS,DIAGNOSTIC AGENTS,OTHER DIAGNOSTIC AGENTS,Tuberculosis diagnostics
A,A02,A02A,A02AD,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,ANTACIDS,"Combinations and complexes of aluminium, calcium and magnesium compounds"
A,A06,A06A,A06AB,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Contact laxatives
P,P01,P01A,P01AA,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,Hydroxyquinoline derivatives
C,C01,C01B,C01BG,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRHYTHMICS, CLASS I AND III","Other antiarrhythmics, class I and III"
R,R03,R03C,R03CB,RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,ADRENERGICS FOR SYSTEMIC USE,Non-selective beta-adrenoreceptor agonists
C,C03,C03B,C03BB,CARDIOVASCULAR SYSTEM,DIURETICS,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",Sulfonamides and potassium in combination
J,J01,J01E,J01ED,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,SULFONAMIDES AND TRIMETHOPRIM,Long-acting sulfonamides
R,R06,R06A,R06AX,RESPIRATORY SYSTEM,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,Other antihistamines for systemic use
A,A01,A01A,A01AC,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Corticosteroids for local oral treatment
D,D10,D10B,D10BX,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR SYSTEMIC USE,Other anti-acne preparations for systemic use
J,J01,J01E,J01EC,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,SULFONAMIDES AND TRIMETHOPRIM,Intermediate-acting sulfonamides
J,J01,J01M,J01MA,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,QUINOLONE ANTIBACTERIALS,Fluoroquinolones
L,L04,L04A,L04AB,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,Tumor necrosis factor alpha (TNF-&alpha;) inhibitors
B,B06,B06A,B06AA,BLOOD AND BLOOD FORMING ORGANS,OTHER HEMATOLOGICAL AGENTS,OTHER HEMATOLOGICAL AGENTS,Enzymes
C,C08,C08E,C08EX,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,NON-SELECTIVE CALCIUM CHANNEL BLOCKERS,Other non-selective calcium channel blockers
V,V09,V09G,V09GX,VARIOUS,DIAGNOSTIC RADIOPHARMACEUTICALS,CARDIOVASCULAR SYSTEM,Other cardiovascular system diagnostic radiopharmaceuticals
C,C10,C10A,C10AD,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, PLAIN",Nicotinic acid and derivatives
C,C01,C01A,C01AA,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC GLYCOSIDES,Digitalis glycosides
L,L04,L04A,L04AC,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,Interleukin inhibitors
A,A01,A01A,A01AA,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Caries prophylactic agents
D,D07,D07B,D07BB,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, COMBINATIONS WITH ANTISEPTICS","Corticosteroids, moderately potent, combinations with antiseptics"
G,G03,G03X,G03XA,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,Antigonadotropins and similar agents
V,V03,V03A,V03AE,VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Drugs for treatment of hyperkalemia and hyperphosphatemia
A,A07,A07A,A07AA,ALIMENTARY TRACT AND METABOLISM,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",INTESTINAL ANTIINFECTIVES,Antibiotics
C,C02,C02K,C02KA,CARDIOVASCULAR SYSTEM,ANTIHYPERTENSIVES,OTHER ANTIHYPERTENSIVES,"Alkaloids, excl. rauwolfia"
N,N05,N05C,N05CC,NERVOUS SYSTEM,PSYCHOLEPTICS,HYPNOTICS AND SEDATIVES,Aldehydes and derivatives
C,C03,C03E,C03EA,CARDIOVASCULAR SYSTEM,DIURETICS,DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION,Low-ceiling diuretics and potassium-sparing agents
A,A02,A02B,A02BC,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),Proton pump inhibitors
